 ID do carro  | Horario de Chegada | Tempo de Servico 
280 | 17 | 21
281 | 20 | 16
282 | 22 | 18
283 | 16 | 24
284 | 19 | 22
285 | 16 | 21
286 | 25 | 21
287 | 24 | 17
288 | 28 | 18
289 | 21 | 15
290 | 28 | 7
291 | 26 | 24
292 | 29 | 22
293 | 27 | 13
294 | 22 | 25
295 | 21 | 17
296 | 18 | 18
297 | 17 | 22
298 | 19 | 22
299 | 20 | 26
300 | 26 | 16
301 | 16 | 16
302 | 12 | 16
303 | 28 | 21
304 | 22 | 21
305 | 16 | 17
306 | 23 | 25
307 | 20 | 17
308 | 26 | 14
309 | 17 | 18
310 | 14 | 14
311 | 25 | 19
312 | 19 | 17
313 | 19 | 21
314 | 17 | 20
315 | 22 | 14
316 | 24 | 23
317 | 27 | 11
318 | 29 | 8
319 | 29 | 24
320 | 18 | 19
321 | 18 | 18
322 | 22 | 18
323 | 23 | 20
324 | 21 | 12
325 | 20 | 11
326 | 16 | 21
327 | 20 | 21
328 | 25 | 17
329 | 25 | 20
330 | 22 | 16
331 | 19 | 23
332 | 17 | 17
333 | 14 | 22
334 | 21 | 23
335 | 17 | 15
336 | 22 | 19
337 | 21 | 23
338 | 23 | 24
339 | 23 | 16
340 | 21 | 16
341 | 23 | 13
342 | 27 | 21
343 | 13 | 13
344 | 14 | 18
345 | 11 | 14
346 | 18 | 17
347 | 17 | 25
348 | 19 | 26
349 | 17 | 22
350 | 11 | 18
351 | 25 | 9
352 | 29 | 12
353 | 20 | 22
354 | 18 | 22
355 | 24 | 15
356 | 24 | 20
357 | 18 | 17
358 | 18 | 20
359 | 17 | 20
360 | 17 | 22
361 | 19 | 15
362 | 11 | 25
363 | 17 | 19
364 | 13 | 21
365 | 18 | 21
366 | 21 | 30
367 | 21 | 21
368 | 22 | 20
369 | 18 | 19
370 | 15 | 19
371 | 13 | 29
372 | 23 | 14
373 | 19 | 17
374 | 20 | 16
375 | 16 | 13
376 | 22 | 21
377 | 20 | 18
378 | 16 | 14
379 | 23 | 21
380 | 29 | 24
381 | 18 | 32
382 | 12 | 14
383 | 21 | 16
384 | 21 | 22
385 | 13 | 25
386 | 19 | 32
387 | 16 | 20
388 | 23 | 24
389 | 16 | 21
390 | 27 | 19
391 | 18 | 18
392 | 28 | 16
393 | 20 | 17
394 | 24 | 14
395 | 19 | 23
396 | 23 | 20
397 | 25 | 18
398 | 15 | 21
399 | 20 | 17
400 | 22 | 13
401 | 17 | 16
402 | 25 | 23
403 | 20 | 28
404 | 16 | 20
405 | 19 | 15
406 | 23 | 17
407 | 19 | 20
408 | 18 | 25
409 | 20 | 18
410 | 13 | 18
411 | 19 | 23
412 | 29 | 14
413 | 25 | 15
414 | 24 | 11
415 | 22 | 11
416 | 25 | 20
417 | 13 | 16
418 | 22 | 12
419 | 16 | 16
420 | 25 | 18
421 | 19 | 15
422 | 17 | 22
423 | 26 | 30
424 | 16 | 21
425 | 16 | 21
426 | 17 | 16
427 | 20 | 17
428 | 16 | 13
429 | 20 | 19
430 | 9 | 22
431 | 18 | 21
432 | 20 | 19
433 | 22 | 12
434 | 12 | 20
435 | 15 | 15
436 | 22 | 20
437 | 16 | 16
438 | 19 | 16
439 | 19 | 13
440 | 14 | 15
441 | 13 | 17
442 | 20 | 16
443 | 16 | 22
444 | 17 | 23
445 | 30 | 19
446 | 27 | 13
447 | 17 | 14
448 | 22 | 23
449 | 22 | 21
450 | 14 | 15
451 | 15 | 14
452 | 21 | 27
453 | 13 | 19
454 | 17 | 13
455 | 17 | 19
456 | 26 | 18
457 | 26 | 14
458 | 28 | 20
459 | 29 | 14
460 | 22 | 20
461 | 22 | 23
462 | 25 | 14
463 | 13 | 21
464 | 17 | 18
465 | 20 | 25
466 | 23 | 19
467 | 16 | 22
468 | 16 | 17
469 | 12 | 20
470 | 15 | 18
471 | 21 | 15
472 | 24 | 18
473 | 17 | 24
474 | 22 | 18
475 | 24 | 18
476 | 20 | 18
477 | 19 | 17
478 | 22 | 28
479 | 15 | 22
480 | 19 | 23
481 | 17 | 26
482 | 19 | 10
483 | 24 | 15
484 | 20 | 26
485 | 17 | 20
486 | 21 | 20
487 | 29 | 18
488 | 22 | 12
489 | 22 | 16
490 | 26 | 10
491 | 19 | 8
492 | 23 | 13
493 | 17 | 20
494 | 21 | 12
495 | 20 | 20
496 | 19 | 23
497 | 19 | 25
498 | 23 | 21
499 | 10 | 17
500 | 22 | 18
501 | 24 | 19
502 | 18 | 24
503 | 26 | 15
504 | 15 | 15
505 | 26 | 19
506 | 21 | 17
507 | 27 | 12
508 | 24 | 26
509 | 19 | 13
510 | 28 | 28
511 | 16 | 24
512 | 22 | 20
513 | 19 | 15
514 | 23 | 20
515 | 24 | 15
516 | 17 | 26
517 | 20 | 14
518 | 23 | 16
519 | 20 | 14
520 | 21 | 17
521 | 20 | 22
522 | 21 | 26
523 | 14 | 20
524 | 21 | 23
525 | 19 | 19
526 | 24 | 17
527 | 32 | 20
528 | 18 | 25
529 | 19 | 22
530 | 13 | 24
531 | 27 | 23
532 | 15 | 18
533 | 15 | 16
534 | 20 | 20
535 | 18 | 20
536 | 18 | 19
537 | 14 | 15
538 | 25 | 24
539 | 15 | 18
540 | 22 | 16
541 | 21 | 14
542 | 18 | 19
543 | 30 | 22
544 | 32 | 14
545 | 23 | 16
546 | 22 | 17
547 | 24 | 20
548 | 21 | 7
549 | 25 | 20
550 | 27 | 31
551 | 10 | 21
552 | 26 | 11
553 | 20 | 22
554 | 20 | 15
555 | 26 | 16
556 | 23 | 20
557 | 19 | 14
558 | 27 | 20
559 | 18 | 23
560 | 23 | 16
561 | 12 | 14
562 | 18 | 13
563 | 15 | 20
564 | 22 | 11
565 | 26 | 22
566 | 18 | 18
567 | 19 | 16
568 | 16 | 20
569 | 21 | 16
570 | 26 | 24
571 | 18 | 9
572 | 20 | 13
573 | 16 | 18
574 | 19 | 16
575 | 12 | 20
576 | 16 | 19
577 | 12 | 16
578 | 23 | 8
579 | 19 | 19
580 | 22 | 17
581 | 16 | 15
582 | 16 | 16
583 | 20 | 20
584 | 17 | 19
585 | 29 | 21
586 | 16 | 16
587 | 25 | 18
588 | 21 | 16
589 | 20 | 24
590 | 23 | 20
591 | 27 | 16
592 | 17 | 16
593 | 26 | 27
594 | 28 | 21
595 | 15 | 13
596 | 23 | 18
597 | 25 | 24
598 | 21 | 21
599 | 17 | 19
600 | 17 | 30
601 | 20 | 14
602 | 24 | 28
603 | 16 | 22
604 | 23 | 17
605 | 25 | 18
606 | 24 | 19
607 | 19 | 20
608 | 20 | 21
609 | 21 | 18
610 | 20 | 14
611 | 23 | 21
612 | 24 | 16
613 | 20 | 24
614 | 26 | 22
615 | 20 | 21
616 | 17 | 18
617 | 22 | 16
618 | 19 | 19
619 | 19 | 21
620 | 17 | 20
621 | 30 | 26
622 | 14 | 17
623 | 19 | 13
624 | 24 | 15
625 | 27 | 19
626 | 15 | 18
627 | 31 | 12
628 | 26 | 26
629 | 16 | 21
630 | 24 | 23
631 | 16 | 23
632 | 21 | 13
633 | 13 | 18
634 | 16 | 17
635 | 20 | 16
636 | 24 | 25
637 | 34 | 22
638 | 19 | 11
639 | 24 | 24
640 | 16 | 24
641 | 10 | 15
642 | 14 | 23
643 | 21 | 19
644 | 20 | 19
645 | 15 | 22
646 | 18 | 28
647 | 25 | 14
648 | 8 | 16
649 | 25 | 14
650 | 15 | 15
651 | 23 | 21
652 | 21 | 20
653 | 21 | 18
654 | 22 | 15
655 | 20 | 31
656 | 11 | 23
657 | 17 | 14
658 | 23 | 19
659 | 17 | 17
660 | 25 | 18
661 | 17 | 15
662 | 24 | 26
663 | 23 | 22
664 | 23 | 16
665 | 20 | 25
666 | 22 | 22
667 | 18 | 18
668 | 19 | 21
669 | 14 | 17
670 | 24 | 24
671 | 18 | 22
672 | 30 | 19
673 | 22 | 11
674 | 22 | 19
675 | 22 | 15
676 | 32 | 20
677 | 19 | 16
678 | 19 | 22
679 | 27 | 34
680 | 20 | 22
681 | 23 | 19
682 | 15 | 24
683 | 20 | 22
684 | 21 | 23
685 | 21 | 12
686 | 18 | 19
687 | 22 | 16
688 | 16 | 14
689 | 26 | 13
690 | 16 | 25
691 | 23 | 26
692 | 24 | 28
693 | 17 | 22
694 | 23 | 26
695 | 26 | 14
696 | 19 | 19
697 | 19 | 27
698 | 25 | 17
699 | 15 | 18
700 | 17 | 15
701 | 16 | 22
702 | 20 | 21
703 | 30 | 13
704 | 23 | 14
705 | 19 | 15
706 | 18 | 17
707 | 19 | 24
708 | 15 | 25
709 | 22 | 19
710 | 25 | 17
711 | 21 | 20
712 | 18 | 14
713 | 23 | 19
714 | 14 | 11
715 | 26 | 22
716 | 23 | 18
717 | 22 | 23
718 | 20 | 15
719 | 20 | 24
720 | 18 | 14
721 | 23 | 13
722 | 23 | 28
723 | 24 | 24
724 | 22 | 19
725 | 20 | 16
726 | 11 | 20
727 | 16 | 15
728 | 21 | 15
729 | 27 | 14
730 | 15 | 20
731 | 19 | 19
732 | 16 | 23
733 | 13 | 15
734 | 16 | 23
735 | 18 | 24
736 | 19 | 10
737 | 23 | 28
738 | 19 | 8
739 | 19 | 16
740 | 22 | 18
741 | 21 | 16
742 | 27 | 19
743 | 17 | 25
744 | 17 | 19
745 | 25 | 21
746 | 17 | 31
747 | 20 | 30
748 | 17 | 26
749 | 16 | 23
750 | 13 | 17
751 | 24 | 20
752 | 15 | 21
753 | 21 | 10
754 | 17 | 16
755 | 18 | 16
756 | 18 | 21
757 | 22 | 16
758 | 19 | 14
759 | 14 | 23
760 | 19 | 20
761 | 25 | 17
762 | 17 | 15
763 | 16 | 18
764 | 20 | 16
765 | 24 | 22
766 | 15 | 17
767 | 15 | 22
768 | 22 | 16
769 | 20 | 21
770 | 21 | 15
771 | 22 | 18
772 | 18 | 16
773 | 19 | 16
774 | 17 | 21
775 | 20 | 12
776 | 20 | 24
777 | 20 | 17
778 | 16 | 17
779 | 28 | 17
780 | 15 | 23
781 | 27 | 20
782 | 15 | 23
783 | 21 | 17
784 | 23 | 19
785 | 27 | 21
786 | 10 | 15
787 | 21 | 18
788 | 17 | 17
789 | 20 | 25
790 | 18 | 12
791 | 22 | 13
792 | 23 | 26
793 | 25 | 16
794 | 25 | 18
795 | 15 | 19
796 | 18 | 24
797 | 22 | 13
798 | 16 | 12
799 | 13 | 17
800 | 20 | 20
801 | 23 | 28
802 | 28 | 26
803 | 15 | 22
804 | 26 | 21
805 | 16 | 23
806 | 19 | 21
807 | 15 | 20
808 | 14 | 13
809 | 22 | 16
810 | 10 | 16
811 | 18 | 15
812 | 23 | 30
813 | 20 | 15
814 | 20 | 20
815 | 15 | 21
816 | 16 | 10
817 | 21 | 21
818 | 18 | 21
819 | 25 | 23
820 | 19 | 20
821 | 17 | 14
822 | 19 | 11
823 | 14 | 22
824 | 17 | 22
825 | 15 | 13
826 | 17 | 19
827 | 22 | 17
828 | 15 | 17
829 | 24 | 18
830 | 13 | 16
831 | 17 | 28
832 | 16 | 24
833 | 25 | 16
834 | 25 | 24
835 | 24 | 20
836 | 23 | 19
837 | 17 | 13
838 | 20 | 12
839 | 22 | 18
840 | 20 | 25
841 | 12 | 19
842 | 25 | 20
843 | 13 | 18
844 | 29 | 18
845 | 21 | 25
846 | 23 | 12
847 | 15 | 24
848 | 17 | 20
849 | 17 | 25
850 | 17 | 25
851 | 29 | 10
852 | 18 | 24
853 | 27 | 24
854 | 13 | 13
855 | 13 | 22
856 | 26 | 25
857 | 31 | 12
858 | 17 | 24
859 | 17 | 18
860 | 17 | 25
861 | 21 | 22
862 | 25 | 18
863 | 21 | 25
864 | 19 | 19
865 | 20 | 22
866 | 22 | 20
867 | 16 | 20
868 | 23 | 19
869 | 23 | 22
870 | 15 | 15
871 | 21 | 19
872 | 18 | 23
873 | 20 | 17
874 | 16 | 19
875 | 22 | 15
876 | 25 | 8
877 | 16 | 16
878 | 20 | 21
879 | 12 | 20
880 | 21 | 13
881 | 18 | 20
882 | 13 | 16
883 | 23 | 19
884 | 23 | 17
885 | 17 | 21
886 | 21 | 23
887 | 24 | 13
888 | 22 | 24
889 | 18 | 20
890 | 22 | 19
891 | 20 | 15
892 | 12 | 14
893 | 18 | 13
894 | 18 | 19
895 | 14 | 20
896 | 15 | 20
897 | 24 | 21
898 | 20 | 16
899 | 22 | 18
900 | 22 | 13
901 | 16 | 11
902 | 15 | 13
903 | 16 | 22
904 | 16 | 24
905 | 32 | 12
906 | 16 | 26
907 | 23 | 20
908 | 26 | 12
909 | 24 | 23
910 | 14 | 20
911 | 25 | 23
912 | 27 | 23
913 | 24 | 18
914 | 24 | 22
915 | 22 | 19
916 | 14 | 25
917 | 18 | 25
918 | 18 | 25
919 | 16 | 13
920 | 19 | 16
921 | 21 | 22
922 | 20 | 15
923 | 14 | 16
924 | 22 | 21
925 | 25 | 18
926 | 21 | 19
927 | 24 | 18
928 | 18 | 21
929 | 16 | 16
930 | 18 | 22
931 | 13 | 15
932 | 33 | 17
933 | 18 | 27
934 | 25 | 20
935 | 19 | 20
936 | 20 | 17
937 | 16 | 21
938 | 10 | 20
939 | 15 | 23
940 | 15 | 19
941 | 14 | 15
942 | 13 | 17
943 | 22 | 22
944 | 24 | 24
945 | 21 | 18
946 | 23 | 22
947 | 16 | 20
948 | 24 | 18
949 | 15 | 14
950 | 16 | 19
951 | 24 | 18
952 | 19 | 21
953 | 21 | 21
954 | 19 | 13
955 | 16 | 17
956 | 21 | 19
957 | 18 | 24
958 | 16 | 17
959 | 26 | 25
960 | 13 | 16
961 | 19 | 29
962 | 18 | 23
963 | 16 | 17
964 | 20 | 17
965 | 20 | 18
966 | 21 | 28
967 | 26 | 26
968 | 18 | 22
969 | 27 | 20
970 | 17 | 17
971 | 19 | 18
972 | 20 | 15
973 | 18 | 21
974 | 17 | 22
975 | 22 | 23
976 | 17 | 15
977 | 21 | 17
978 | 12 | 28
979 | 23 | 15
980 | 21 | 15
981 | 19 | 12
982 | 18 | 19
983 | 24 | 21
984 | 23 | 12
985 | 20 | 14
986 | 16 | 22
987 | 28 | 14
988 | 14 | 18
989 | 26 | 17
990 | 17 | 16
991 | 20 | 21
992 | 26 | 26
993 | 31 | 21
994 | 18 | 15
995 | 17 | 20
996 | 16 | 16
997 | 18 | 13
998 | 21 | 22
999 | 24 | 24
1000 | 21 | 15
1001 | 22 | 24
1002 | 19 | 16
1003 | 23 | 17
1004 | 18 | 23
1005 | 17 | 19
1006 | 18 | 28
1007 | 19 | 18
1008 | 21 | 15
1009 | 17 | 26
1010 | 22 | 14
1011 | 21 | 17
1012 | 22 | 16
1013 | 17 | 14
1014 | 18 | 14
1015 | 13 | 16
1016 | 17 | 22
1017 | 18 | 13
1018 | 17 | 12
1019 | 22 | 23
1020 | 27 | 17
1021 | 19 | 16
1022 | 16 | 15
1023 | 19 | 13
1024 | 26 | 14
1025 | 22 | 19
1026 | 21 | 19
1027 | 21 | 12
1028 | 23 | 22
1029 | 21 | 16
1030 | 28 | 22
1031 | 20 | 17
1032 | 16 | 16
1033 | 14 | 15
1034 | 30 | 21
1035 | 16 | 19
1036 | 18 | 13
1037 | 13 | 18
1038 | 20 | 14
1039 | 8 | 16
1040 | 17 | 13
1041 | 22 | 18
1042 | 18 | 28
1043 | 18 | 18
1044 | 20 | 22
1045 | 22 | 23
1046 | 17 | 22
1047 | 22 | 36
1048 | 25 | 15
1049 | 23 | 20
1050 | 25 | 17
1051 | 17 | 15
1052 | 19 | 16
1053 | 23 | 15
1054 | 21 | 24
1055 | 26 | 16
1056 | 14 | 18
1057 | 23 | 29
1058 | 28 | 18
1059 | 16 | 18
1060 | 23 | 22
1061 | 13 | 19
1062 | 20 | 22
1063 | 13 | 19
1064 | 18 | 9
1065 | 19 | 15
1066 | 19 | 15
1067 | 13 | 20
1068 | 18 | 16
1069 | 24 | 22
1070 | 22 | 22
1071 | 23 | 16
1072 | 15 | 18
1073 | 21 | 17
1074 | 20 | 14
1075 | 24 | 22
1076 | 20 | 22
1077 | 22 | 20
1078 | 18 | 15
1079 | 15 | 34
1080 | 25 | 28
1081 | 23 | 26
1082 | 19 | 31
1083 | 18 | 23
1084 | 16 | 19
1085 | 20 | 12
1086 | 14 | 24
1087 | 14 | 21
1088 | 12 | 12
1089 | 23 | 14
1090 | 17 | 13
1091 | 16 | 14
1092 | 24 | 20
1093 | 19 | 20
1094 | 20 | 20
1095 | 24 | 19
1096 | 24 | 23
1097 | 25 | 21
1098 | 24 | 20
1099 | 17 | 16
1100 | 18 | 23
1101 | 15 | 20
1102 | 25 | 15
1103 | 15 | 13
1104 | 18 | 17
1105 | 12 | 18
1106 | 19 | 17
1107 | 23 | 20
1108 | 20 | 16
1109 | 19 | 19
1110 | 28 | 17
1111 | 20 | 13
1112 | 13 | 20
1113 | 15 | 14
1114 | 22 | 21
1115 | 21 | 24
1116 | 22 | 13
1117 | 13 | 30
1118 | 14 | 11
1119 | 23 | 22
1120 | 24 | 23
1121 | 20 | 18
1122 | 24 | 16
1123 | 21 | 16
1124 | 15 | 24
1125 | 17 | 15
1126 | 15 | 18
1127 | 17 | 24
1128 | 28 | 20
1129 | 19 | 12
1130 | 16 | 23
1131 | 20 | 14
1132 | 15 | 20
1133 | 34 | 19
1134 | 28 | 18
1135 | 25 | 29
1136 | 23 | 17
1137 | 16 | 26
1138 | 24 | 24
1139 | 15 | 20
1140 | 13 | 13
1141 | 23 | 17
1142 | 15 | 18
1143 | 21 | 16
1144 | 19 | 20
1145 | 20 | 27
1146 | 19 | 13
1147 | 19 | 12
1148 | 17 | 26
1149 | 22 | 13
1150 | 23 | 22
1151 | 28 | 14
1152 | 24 | 19
1153 | 19 | 19
1154 | 16 | 22
1155 | 19 | 23
1156 | 21 | 14
1157 | 13 | 19
1158 | 15 | 15
1159 | 21 | 15
1160 | 23 | 20
1161 | 14 | 23
1162 | 16 | 13
1163 | 19 | 16
1164 | 30 | 17
1165 | 32 | 20
1166 | 13 | 25
1167 | 18 | 16
1168 | 21 | 25
1169 | 27 | 15
1170 | 14 | 15
1171 | 22 | 19
1172 | 28 | 26
1173 | 20 | 25
1174 | 20 | 24
1175 | 17 | 21
1176 | 30 | 25
1177 | 28 | 23
1178 | 19 | 17
1179 | 21 | 22
1180 | 22 | 18
1181 | 18 | 14
1182 | 20 | 19
1183 | 25 | 21
1184 | 28 | 13
1185 | 24 | 11
1186 | 20 | 20
1187 | 26 | 17
1188 | 15 | 15
1189 | 15 | 24
1190 | 16 | 17
1191 | 25 | 18
1192 | 22 | 20
1193 | 25 | 24
1194 | 12 | 22
1195 | 20 | 22
1196 | 20 | 23
1197 | 17 | 21
1198 | 15 | 21
1199 | 17 | 9
1200 | 19 | 18
1201 | 10 | 20
1202 | 20 | 13
1203 | 20 | 16
1204 | 11 | 20
1205 | 30 | 22
1206 | 21 | 19
1207 | 21 | 16
1208 | 27 | 19
1209 | 29 | 15
1210 | 25 | 22
1211 | 17 | 20
1212 | 12 | 17
1213 | 30 | 21
1214 | 23 | 18
1215 | 31 | 18
1216 | 25 | 16
1217 | 21 | 20
1218 | 20 | 15
1219 | 21 | 21
1220 | 27 | 19
1221 | 26 | 16
1222 | 16 | 22
1223 | 25 | 26
1224 | 19 | 12
1225 | 23 | 19
1226 | 20 | 21
1227 | 26 | 21
1228 | 30 | 16
1229 | 16 | 20
1230 | 24 | 16
1231 | 20 | 17
1232 | 22 | 21
1233 | 12 | 24
1234 | 30 | 19
1235 | 25 | 17
1236 | 22 | 19
1237 | 31 | 18
1238 | 12 | 16
1239 | 21 | 20
1240 | 18 | 17
1241 | 20 | 11
1242 | 23 | 26
1243 | 20 | 21
1244 | 18 | 18
1245 | 20 | 15
1246 | 16 | 15
1247 | 19 | 18
1248 | 19 | 14
1249 | 25 | 16
1250 | 27 | 22
1251 | 21 | 11
1252 | 22 | 13
1253 | 17 | 18
1254 | 18 | 7
1255 | 17 | 22
1256 | 24 | 22
1257 | 17 | 14
1258 | 17 | 12
1259 | 19 | 17
1260 | 19 | 14
1261 | 12 | 27
1262 | 22 | 19
1263 | 14 | 15
1264 | 17 | 7
1265 | 29 | 20
1266 | 28 | 19
1267 | 15 | 19
1268 | 24 | 17
1269 | 23 | 21
1270 | 17 | 26
1271 | 24 | 27
1272 | 22 | 19
1273 | 16 | 24
1274 | 13 | 18
1275 | 24 | 18
1276 | 22 | 19
1277 | 19 | 22
1278 | 20 | 17
1279 | 22 | 16
1280 | 14 | 12
1281 | 20 | 20
1282 | 26 | 18
1283 | 20 | 23
1284 | 19 | 15
1285 | 22 | 17
1286 | 22 | 17
1287 | 25 | 22
1288 | 18 | 20
1289 | 16 | 22
1290 | 20 | 26
1291 | 20 | 16
1292 | 18 | 14
1293 | 20 | 18
1294 | 20 | 21
1295 | 17 | 19
1296 | 21 | 22
1297 | 22 | 19
1298 | 27 | 15
1299 | 17 | 17
1300 | 21 | 23
1301 | 19 | 22
1302 | 25 | 17
1303 | 16 | 12
1304 | 18 | 15
1305 | 18 | 22
1306 | 12 | 20
1307 | 17 | 21
1308 | 15 | 19
1309 | 25 | 14
1310 | 24 | 25
1311 | 23 | 17
1312 | 25 | 23
1313 | 21 | 26
1314 | 24 | 13
1315 | 16 | 18
1316 | 22 | 20
1317 | 14 | 18
1318 | 21 | 20
1319 | 25 | 23
1320 | 28 | 14
1321 | 21 | 18
1322 | 26 | 17
1323 | 17 | 10
1324 | 16 | 22
1325 | 13 | 20
1326 | 27 | 17
1327 | 17 | 21
1328 | 17 | 24
1329 | 15 | 22
1330 | 20 | 17
1331 | 19 | 23
1332 | 27 | 19
1333 | 23 | 19
1334 | 19 | 21
1335 | 25 | 20
1336 | 25 | 21
1337 | 22 | 30
1338 | 23 | 17
1339 | 20 | 18
1340 | 18 | 16
1341 | 24 | 13
1342 | 21 | 17
1343 | 22 | 23
1344 | 18 | 17
1345 | 19 | 11
1346 | 30 | 21
1347 | 19 | 16
1348 | 18 | 17
1349 | 19 | 22
1350 | 14 | 15
1351 | 18 | 10
1352 | 18 | 22
1353 | 19 | 17
1354 | 17 | 16
1355 | 21 | 16
1356 | 15 | 13
1357 | 16 | 22
1358 | 17 | 13
